,station,date,avg_aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1792,"IITG, Guwahati - PCBA",2025-02-17,3.7083333333333335,677.0279166666666,0.3091666666666667,10.799583333333333,88.34916666666668,4.652500000000001,58.44416666666667,69.60541666666667,10.306666666666667
1793,"IITG, Guwahati - PCBA",2025-02-18,3.2083333333333335,588.1587499999999,0.18416666666666662,9.084999999999999,90.74874999999999,4.659583333333333,45.60499999999999,55.47624999999999,9.3225
1794,"IITG, Guwahati - PCBA",2025-02-19,3.6666666666666665,719.8641666666667,0.49874999999999997,12.277083333333332,80.28666666666668,4.066666666666666,50.78458333333333,61.51624999999999,7.909583333333333
1795,"IITG, Guwahati - PCBA",2025-02-20,3.1666666666666665,716.2487499999999,0.34374999999999994,13.897083333333335,77.26333333333334,4.100416666666665,41.266666666666666,52.00875,9.101250000000002
1796,"IITG, Guwahati - PCBA",2025-02-21,4.5,1097.8766666666668,1.19875,31.514166666666664,61.09458333333333,8.249583333333332,80.90750000000001,100.61791666666666,14.731666666666664
1797,"IITG, Guwahati - PCBA",2025-02-22,3.5,695.3879166666666,0.1775,11.10416666666667,81.97208333333334,3.6141666666666663,49.33166666666665,57.09916666666667,8.439166666666667
1798,"IITG, Guwahati - PCBA",2025-02-23,3.4166666666666665,826.6758333333332,0.29124999999999995,20.081666666666667,65.21583333333332,5.320833333333333,47.76916666666667,58.77375,9.7375
1799,"IITG, Guwahati - PCBA",2025-02-24,3.875,1080.9112499999999,0.4129166666666666,28.943749999999998,52.58625,5.928750000000001,67.45666666666665,81.23791666666666,9.62125
1800,"IITG, Guwahati - PCBA",2025-02-25,4.0,941.5558333333333,0.80375,21.081666666666667,60.49166666666667,4.850833333333333,60.457916666666655,74.09083333333334,9.60375
1801,"IITG, Guwahati - PCBA",2025-02-26,3.75,900.6650000000001,0.43333333333333335,19.924166666666668,67.27916666666667,5.320833333333334,54.32583333333333,69.95791666666669,13.006666666666666
1802,"IITG, Guwahati - PCBA",2025-02-27,4.416666666666667,1141.2695833333335,1.1675000000000002,28.94333333333333,65.40791666666668,8.380416666666669,75.97958333333334,96.44916666666666,22.0425
1803,"IITG, Guwahati - PCBA",2025-02-28,4.75,1311.2216666666668,1.64625,36.35791666666667,66.60791666666667,13.852916666666667,93.9508333333333,112.6708333333333,26.00208333333333
1804,"IITG, Guwahati - PCBA",2025-03-01,4.166666666666667,875.3537500000001,0.43166666666666664,12.590416666666668,77.54583333333335,6.137083333333333,69.36375,79.30000000000001,12.014583333333333
1805,"IITG, Guwahati - PCBA",2025-03-02,3.5416666666666665,784.9537499999998,0.4725,15.535833333333336,71.59208333333335,5.442916666666666,48.68,57.86041666666667,11.385416666666666
1806,"IITG, Guwahati - PCBA",2025-03-03,3.75,857.5529166666666,0.2520833333333333,16.456666666666667,74.08833333333332,6.268750000000001,59.03916666666667,72.45625000000001,14.797916666666664
1807,"IITG, Guwahati - PCBA",2025-03-04,4.25,977.7162500000003,0.6858333333333332,24.231666666666673,79.70583333333333,11.341666666666667,66.29291666666667,82.76208333333332,23.92375
1808,"IITG, Guwahati - PCBA",2025-03-05,4.0,830.0133333333333,0.0,18.19166666666667,37.37333333333333,3.813333333333334,68.85333333333334,86.85166666666667,8.688333333333334
1809,"IITG, Guwahati - PCBA",2025-03-06,,,,,,,,,
1810,"IITG, Guwahati - PCBA",2025-03-07,4.777777777777778,1123.0055555555555,0.7338888888888889,23.183888888888887,122.68611111111113,11.705555555555556,95.02944444444444,115.08444444444444,22.722222222222218
